mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
26,4,97,46,1950,21,73,europe,volkswagen super beetle
26,4,97,46,1835,20.5,70,europe,volkswagen 1131 deluxe sedan
44.3,4,90,48,2085,21.7,80,europe,vw rabbit c (diesel)
43.4,4,90,48,2335,23.7,80,europe,vw dasher (diesel)
43.1,4,90,48,1985,21.5,78,europe,volkswagen rabbit custom diesel
44.3,4,90,48,2085,21.7,80,europe,vw rabbit c (diesel)
29,4,68,49,1867,19.5,73,europe,fiat 128
29,4,85,52,2035,22.2,76,usa,chevrolet chevette
44,4,97,52,2130,24.6,82,europe,vw pickup
31,4,76,52,1649,16.5,74,japan,toyota corona
32.8,4,78,52,1985,19.4,78,japan,mazda glc deluxe
33,4,91,53,1795,17.5,75,japan,honda civic cvcc
33,4,91,53,1795,17.4,76,japan,honda civic
23,4,97,54,2254,23.5,72,europe,volkswagen type 3
23,4,97,54,2254,23.5,72,europe,volkswagen type 3
36,4,79,58,1825,18.6,77,europe,renault 5 gtl
39.1,4,79,58,1755,16.9,81,japan,toyota starlet
24.5,4,98,60,2164,22.1,76,usa,chevrolet woody
35.1,4,81,60,1760,16.1,81,japan,honda civic 1300
27,4,97,60,1834,19,71,europe,volkswagen model 111
38.1,4,89,60,1968,18.8,80,japan,toyota corolla tercel
36.1,4,91,60,1800,16.4,78,japan,honda civic cvcc
32,4,83,61,2003,19,74,japan,datsun 710
29.8,4,89,62,1845,15.3,80,europe,vokswagen rabbit
37.7,4,89,62,2050,17.3,81,japan,toyota tercel
34.7,4,105,63,2215,14.9,81,usa,plymouth horizon 4
30.5,4,98,63,2051,17,77,usa,chevrolet chevette
38,4,105,63,2125,14.7,82,usa,plymouth horizon miser
39,4,86,64,1875,16.4,81,usa,plymouth champ
32,4,71,65,1836,21,74,japan,toyota corolla 1200
37.2,4,86,65,2019,16.4,80,japan,datsun 310
40.8,4,85,65,2110,19.2,80,japan,datsun 210
34.1,4,86,65,1975,15.2,79,japan,maxda glc deluxe
46.6,4,86,65,2110,17.9,80,japan,mazda glc
31,4,71,65,1773,19,71,japan,toyota corolla 1200
31.8,4,85,65,2020,19.2,79,japan,datsun 210
34.4,4,98,65,2045,16.2,81,usa,ford escort 4w
29.9,4,98,65,2380,20.7,81,usa,ford escort 2h
37,4,85,65,1975,19.4,81,japan,datsun 210 mpg
34.4,4,98,65,2045,16.2,81,usa,ford escort 4w
46.6,4,86,65,2110,17.9,80,japan,mazda glc
37.2,4,86,65,2019,16.4,80,japan,datsun 310
36.1,4,98,66,1800,14.4,78,usa,ford fiesta
44.6,4,91,67,1850,13.8,80,japan,honda civic 1500 gl
38,4,91,67,1965,15,82,japan,honda civic
32.3,4,97,67,2065,17.8,81,japan,subaru
31,4,79,67,2000,16,74,europe,fiat x1.9
26,4,79,67,1963,15.5,74,europe,volkswagen dasher
31,4,79,67,1950,19,74,japan,datsun b210
32,4,91,67,1965,15.7,82,japan,honda civic (auto)
30,4,97,67,1985,16.4,77,japan,subaru dl
38,4,91,67,1995,16.2,82,japan,datsun 310 gx
30,4,146,67,3250,21.8,80,europe,mercedes-benz 240d
33.8,4,97,67,2145,18,80,japan,subaru dl
36.4,5,121,67,2950,19.9,80,europe,audi 5000s (diesel)
30,4,98,68,2155,16.5,78,usa,chevrolet chevette
31.5,4,98,68,2045,18.5,77,japan,honda accord cvcc
31,4,91,68,1970,17.6,82,japan,mazda glc custom
34.1,4,91,68,1985,16,81,japan,mazda glc 4
29.5,4,98,68,2135,16.6,78,japan,honda accord lx
37,4,91,68,2025,18.2,82,japan,mazda glc custom l
26,4,96,69,2189,18,72,europe,renault 12 (sw)
37.3,4,91,69,2130,14.7,79,europe,fiat strada custom
35,4,72,69,1613,18,71,japan,datsun 1200
32,4,85,70,1990,17,76,japan,datsun b-210
26,4,91,70,1955,20.5,71,usa,plymouth cricket
33.5,4,85,70,1945,16.8,77,japan,datsun f-10 hatchback
36,4,98,70,2125,17.3,82,usa,mercury lynx l
34.5,4,105,70,2150,14.9,79,usa,plymouth horizon tc3
39.4,4,85,70,2070,18.6,78,japan,datsun b210 gx
34.2,4,105,70,2200,13.2,79,usa,plymouth horizon
32.1,4,98,70,2120,15.5,80,usa,chevrolet chevette
29,4,90,70,1937,14,75,europe,volkswagen rabbit
34,4,108,70,2245,16.9,82,japan,toyota corolla
29,4,90,70,1937,14.2,76,europe,vw rabbit
30,4,79,70,2074,19.5,71,europe,peugeot 304
31.9,4,89,70,1925,14,79,europe,vw rabbit custom
27.2,4,141,70,3190,24.8,79,europe,peugeot 504
31.5,4,89,70,1990,14.9,78,europe,volkswagen scirocco
25,4,90,70,2223,16.5,75,europe,volkswagen dasher
29.5,4,97,71,1825,12.2,76,europe,volkswagen rabbit
21,4,140,72,2401,19.5,73,usa,chevrolet vega
32.4,4,107,72,2290,17,80,japan,honda accord
15,6,250,72,3158,19.5,75,usa,ford maverick
22,4,140,72,2408,19,71,usa,chevrolet vega (sw)
15,6,250,72,3432,21,75,usa,mercury monarch
26.5,4,140,72,2565,13.6,76,usa,ford pinto
33,4,105,74,2190,14.2,81,europe,volkswagen jetta
36,4,105,74,1980,15.3,82,europe,volkswagen rabbit l
31.6,4,120,74,2635,18.3,81,japan,mazda 626
30.9,4,105,75,2230,14.5,78,usa,dodge omni
28,4,90,75,2125,14.5,74,usa,dodge colt
28,4,97,75,2155,16.4,76,japan,toyota corolla
26,4,116,75,2246,14,74,europe,fiat 124 tc
33.7,4,107,75,2210,14.4,81,japan,honda prelude
32.4,4,108,75,2350,16.8,81,japan,toyota corolla
36,4,107,75,2205,14.5,82,japan,honda accord
29,4,97,75,2171,16,75,japan,toyota corolla
31.3,4,120,75,2542,17.5,80,japan,mazda 626
32.2,4,108,75,2265,15.2,80,japan,toyota corolla
24,4,90,75,2108,15.5,74,europe,fiat 128
24,4,116,75,2158,15.5,73,europe,opel manta
25,4,140,75,2542,17,74,usa,chevrolet vega
26,4,97,75,2265,18.2,77,japan,toyota corolla liftback
41.5,4,98,76,2144,14.7,80,europe,vw rabbit
30,4,88,76,2065,14.5,71,europe,fiat 124b
30.7,6,145,76,3160,19.6,81,europe,volvo diesel
22,4,121,76,2511,18,72,europe,volkswagen 411 (sw)
25.4,5,183,77,3530,20.1,79,europe,mercedes benz 300d
34.3,4,97,78,2188,15.8,80,europe,audi 4000
23,4,140,78,2592,18.5,75,usa,pontiac astro
18,6,250,78,3574,21,76,usa,ford granada ghia
26,4,97,78,2300,14.5,74,europe,opel manta
30.5,4,97,78,2190,14.1,77,europe,volkswagen dasher
29,4,97,78,1940,14.5,77,europe,volkswagen rabbit custom
28,4,120,79,2625,18.6,82,usa,ford ranger
26,4,98,79,2255,17.7,76,usa,dodge colt
25,4,97.5,80,2126,17,72,usa,dodge colt hardtop
30,4,111,80,2155,14.8,77,usa,buick opel isuzu deluxe
28.1,4,141,80,3230,20.4,81,europe,peugeot 505s turbo diesel
28,4,98,80,2164,15,72,usa,dodge colt (sw)
26,4,122,80,2451,16.5,74,usa,ford pinto
35.7,4,98,80,1915,14.4,79,usa,dodge colt hatchback custom
27.4,4,121,80,2670,15,79,usa,amc spirit dl
25,4,116,81,2220,16.9,76,europe,opel 1900
24,6,200,81,3012,17.6,76,usa,ford maverick
31,4,119,82,2720,19.4,82,usa,chevy s-10
23,4,140,83,2639,17,75,usa,ford pinto
27,4,101,83,2202,15.3,76,europe,renault 12tl
29,4,98,83,2219,16.5,74,europe,audi fox
33.5,4,98,83,2075,15.9,77,usa,dodge colt m/m
29,4,135,84,2525,16,82,usa,dodge aries se
26.6,4,151,84,2635,16.4,81,usa,buick skylark
30,4,135,84,2385,12.9,81,usa,plymouth reliant
27.2,4,135,84,2490,15.7,81,usa,plymouth reliant
36,4,135,84,2370,13,82,usa,dodge charger 2.2
32,4,135,84,2295,11.6,82,usa,dodge rampage
19,4,122,85,2310,18.5,73,usa,ford pinto
31,4,112,85,2575,16.2,82,usa,pontiac j2000 se hatchback
21,6,200,85,2587,16,70,usa,ford maverick
23.8,4,151,85,2855,17.6,78,usa,oldsmobile starfire sx
20.8,6,200,85,3070,16.7,78,usa,mercury zephyr
20.2,6,200,85,2965,15.8,78,usa,ford fairmont (auto)
17.6,6,225,85,3465,16.6,81,usa,chrysler lebaron salon
38,6,262,85,3015,17,82,usa,oldsmobile cutlass ciera (diesel)
19.8,6,200,85,2990,18.2,79,usa,mercury zephyr 6
28,4,107,86,2464,15.5,76,europe,fiat 131
23,4,122,86,2220,14,71,usa,mercury capri 2000
21,4,122,86,2226,16.5,72,usa,ford pinto runabout
27,4,140,86,2790,15.6,82,usa,ford mustang gl
22,4,122,86,2395,16,72,usa,ford pinto (sw)
25,4,110,87,2672,17.5,70,europe,peugeot 504
21,4,120,87,2979,19.5,72,europe,peugeot 504 (sw)
20.2,6,200,88,3060,17.1,81,usa,ford granada gl
35,4,122,88,2500,15.1,80,europe,triumph tr7 coupe
27,4,97,88,2130,14.5,71,japan,datsun pl510
18,6,250,88,3021,16.5,73,usa,ford maverick
26.4,4,140,88,2870,18.1,80,usa,ford fairmont
23,4,120,88,2957,17,75,europe,peugeot 504
25.1,4,140,88,2720,15.4,78,usa,ford fairmont (man)
19,4,120,88,3270,21.9,76,europe,peugeot 504
22.3,4,140,88,2890,17.3,79,usa,ford fairmont 4
27,4,97,88,2100,16.5,72,japan,toyota corolla 1600 (sw)
27,4,112,88,2640,18.6,82,usa,chevrolet cavalier wagon
19,6,250,88,3302,15.5,71,usa,ford torino 500
24.5,4,151,88,2740,16,77,usa,pontiac sunbird coupe
18,6,250,88,3139,14.5,71,usa,ford mustang
28,4,112,88,2605,19.6,82,usa,chevrolet cavalier
34,4,112,88,2395,18,82,usa,chevrolet cavalier 2-door
27,4,97,88,2130,14.5,70,japan,datsun pl510
20,4,97,88,2279,19,73,japan,toyota carina
36,4,120,88,2160,14.5,82,japan,nissan stanza xe
25.5,4,140,89,2755,15.8,77,usa,ford mustang ii 2+2
20,4,140,90,2408,19.5,72,usa,chevrolet vega
22.5,6,232,90,3085,17.6,76,usa,amc hornet
33.5,4,151,90,2556,13.2,79,usa,pontiac phoenix
21,6,199,90,2648,15,70,usa,amc gremlin
27,4,151,90,2950,17.3,82,usa,chevrolet camaro
18,3,70,90,2124,13.5,73,japan,maxda rx3
28,4,151,90,2678,16.5,80,usa,chevrolet citation
19.4,6,232,90,3210,17.2,78,usa,amc concord
24.3,4,151,90,3003,20.1,80,usa,amc concord
20.2,6,232,90,3265,18.2,79,usa,amc concord dl 6
27,4,151,90,2735,18,82,usa,pontiac phoenix
23.9,8,260,90,3420,22.2,79,usa,oldsmobile cutlass salon brougham
24,4,107,90,2430,14.5,70,europe,audi 100 ls
19.1,6,225,90,3381,18.7,80,usa,dodge aspen
28,4,116,90,2123,14,71,europe,opel 1900
19,6,232,90,3211,17,75,usa,amc pacer
26,4,98,90,2265,15.5,73,europe,fiat 124 sport coupe
29.8,4,134,90,2711,15.5,80,japan,toyota corona liftback
28,4,140,90,2264,15.5,71,usa,chevrolet vega 2300
28.4,4,151,90,2670,16,79,usa,buick skylark limited
27,4,151,90,2950,17.3,82,usa,chevrolet camaro
27,4,151,90,2950,17.3,82,usa,chevrolet camaro
20,4,114,91,2582,14,73,europe,audi 100ls
26,4,156,92,2585,14.5,82,usa,chrysler lebaron medallion
37,4,119,92,2434,15,80,japan,datsun 510 hatchback
28,4,97,92,2288,17,72,japan,datsun 510 (sw)
25,4,140,92,2572,14.9,76,usa,capri ii
25.8,4,156,92,2620,14.4,81,usa,dodge aries wagon (sw)
24,4,140,92,2865,16.4,82,usa,ford fairmont futura
26,4,108,93,2391,15.5,74,japan,subaru
22,4,108,94,2379,16.5,73,japan,datsun 610
27.5,4,134,95,2560,14.2,78,japan,toyota corona
25,4,104,95,2375,17.5,70,europe,saab 99e
23,6,198,95,2904,16,73,usa,plymouth duster
25,4,113,95,2228,14,71,japan,toyota corona
20,6,198,95,3102,16.5,74,usa,plymouth duster
17.5,6,258,95,3193,17.8,76,usa,amc pacer d/l
21.1,4,134,95,2515,14.8,78,japan,toyota celica gt liftback
24,4,113,95,2278,15.5,72,japan,toyota corona hardtop
18,6,225,95,3785,19,75,usa,plymouth fury
22,6,198,95,2833,15.5,70,usa,plymouth duster
19,6,225,95,3264,16,75,usa,plymouth valiant custom
23,4,115,95,2694,15,75,europe,audi 100ls
24,4,113,95,2372,15,70,japan,toyota corona mark ii
20.5,6,200,95,3155,18.2,78,usa,chevrolet malibu
25.5,4,122,96,2300,15.5,77,usa,plymouth arrow gs
32,4,144,96,2665,13.9,82,japan,toyota celica gt
24,4,134,96,2702,13.5,75,japan,toyota corona
19,3,70,97,2330,13.5,72,japan,mazda rx2 coupe
27.2,4,119,97,2300,14.7,78,japan,datsun 510
23.9,4,119,97,2405,14.9,78,japan,datsun 200-sx
24,4,120,97,2489,15,74,japan,honda civic
22,6,146,97,2815,14.5,77,japan,datsun 810
18,6,171,97,2984,14.5,75,usa,ford pinto
18,6,199,97,2774,15.5,70,usa,amc hornet
23,4,120,97,2506,14.5,72,japan,toyouta corona mark ii (sw)
24,4,119,97,2545,17,75,japan,datsun 710
18.5,6,250,98,3525,19,77,usa,ford granada
22,4,121,98,2945,14.5,75,europe,volvo 244dl
20.5,6,225,100,3430,17.2,78,usa,plymouth volare
16,6,250,100,3278,18,73,usa,chevrolet nova custom
20,6,232,100,2914,16,75,usa,amc gremlin
18,6,232,100,3288,15.5,71,usa,amc matador
19,6,225,100,3630,17.7,77,usa,plymouth volare custom
16,6,250,100,3781,17,74,usa,chevrolet chevelle malibu classic
19,6,232,100,2901,16,74,usa,amc hornet
19,6,232,100,2634,13,71,usa,amc gremlin
22,6,225,100,3233,15.4,76,usa,plymouth valiant
18,6,232,100,2789,15,73,usa,amc gremlin
18,6,232,100,2945,16,73,usa,amc hornet
15,6,250,100,3336,17,74,usa,chevrolet nova
19,6,250,100,3282,15,71,usa,pontiac firebird
17,6,250,100,3329,15.5,71,usa,chevrolet chevelle malibu
20,6,225,100,3651,17.7,76,usa,dodge aspen se
32.9,4,119,100,2615,14.8,81,japan,datsun 200sx
23.7,3,70,100,2420,12.5,80,japan,mazda rx-7 gs
32.9,4,119,100,2615,14.8,81,japan,datsun 200sx
20,4,130,102,3150,15.7,76,europe,volvo 245
20.3,5,131,103,2830,15.9,78,europe,audi 5000
20.5,6,231,105,3425,16.9,77,usa,buick skylark
26.6,8,350,105,3725,19,81,usa,oldsmobile cutlass ls
16,6,225,105,3439,15.5,71,usa,plymouth satellite custom
18,6,225,105,3613,16.5,74,usa,plymouth satellite sebring
22,6,250,105,3353,14.5,76,usa,chevrolet nova
27.9,4,156,105,2800,14.4,80,usa,dodge colt
19.2,6,231,105,3535,19.2,78,usa,pontiac phoenix lj
20.6,6,231,105,3380,15.8,78,usa,buick century special
18,6,250,105,3459,16,75,usa,chevrolet nova
16,6,250,105,3897,18.5,75,usa,chevroelt chevelle malibu
18,6,225,105,3121,16.5,73,usa,plymouth valiant
23.2,4,156,105,2745,16.7,78,usa,plymouth sapporo
21,6,155,107,2472,14,73,usa,mercury capri v6
19,6,156,108,2930,15.5,76,japan,toyota mark ii
18,6,258,110,2962,13.5,71,usa,amc hornet sportabout (sw)
15,6,258,110,3730,19,75,usa,amc matador
25,6,181,110,2945,16.4,82,usa,buick century limited
16,6,258,110,3632,18,74,usa,amc matador
17,8,260,110,4060,19,77,usa,oldsmobile cutlass supreme
21,6,231,110,3039,15,75,usa,buick skyhawk
17.5,6,250,110,3520,16.4,77,usa,chevrolet concours
18.5,6,250,110,3645,16.2,76,usa,pontiac ventura sj
20,8,262,110,3221,13.5,75,usa,chevrolet monza 2+2
19.9,8,260,110,3365,15.5,78,usa,oldsmobile cutlass salon brougham
23.5,6,173,110,2725,12.6,81,usa,chevrolet citation
22.4,6,231,110,3415,15.8,81,usa,buick century
21.5,3,80,110,2720,13.5,77,japan,mazda rx-4
24,4,121,110,2660,14,73,europe,saab 99le
18.6,6,225,110,3620,18.7,78,usa,dodge aspen
21.5,4,121,110,2600,12.8,77,europe,bmw 320i
20.6,6,225,110,3360,16.6,79,usa,dodge aspen 6
17,6,231,110,3907,21,75,usa,buick century
18,4,121,112,2933,14.5,72,europe,volvo 145e (sw)
19,4,121,112,2868,15.5,73,europe,volvo 144ea
22,6,232,112,2835,14.7,82,usa,ford granada l
26,4,121,113,2234,12.5,70,europe,bmw 2002
28.8,6,173,115,2595,11.3,79,usa,chevrolet citation
21.5,6,231,115,3245,15.4,79,usa,pontiac lemans v6
25,4,121,115,2671,13.5,75,europe,saab 99le
26.8,6,173,115,2700,12.9,79,usa,oldsmobile omega brougham
21.6,4,121,115,2795,15.7,78,europe,saab 99gle
25.4,6,168,116,2900,12.6,81,japan,toyota cressida
24.2,6,146,120,2930,13.8,81,japan,datsun 810 maxima
16.5,6,168,120,3820,16.7,76,europe,mercedes-benz 280s
15.5,8,304,120,3962,13.9,76,usa,amc matador
18.1,6,258,120,3410,15.1,78,usa,amc concord d/l
20,6,156,122,2807,13.5,73,japan,toyota mark ii
17,6,163,125,3140,13.6,78,europe,volvo 264gl
19.2,8,267,125,3605,15,79,usa,chevrolet malibu classic (sw)
23,8,350,125,3900,17.4,79,usa,cadillac eldorado
13,8,302,129,3169,12,75,usa,ford mustang ii
17.6,8,302,129,3725,13.4,79,usa,ford ltd landau
15,8,302,130,4295,14.9,77,usa,mercury cougar brougham
18,8,307,130,3504,12,70,usa,chevrolet chevelle malibu
13,8,307,130,4098,14,72,usa,chevrolet chevelle concours (sw)
17,8,305,130,3840,15.4,79,usa,chevrolet caprice classic
13,8,302,130,3870,15,76,usa,ford f108
32.7,6,168,132,2910,11.4,80,japan,datsun 280-zx
16.2,6,163,133,3410,15.8,78,europe,peugeot 604sl
18.2,8,318,135,3830,15.2,79,usa,dodge st. regis
14,8,302,137,4042,14.5,73,usa,ford gran torino
16.5,8,351,138,3955,13.2,79,usa,mercury grand marquis
18.1,8,302,139,3205,11.2,78,usa,ford futura
20.2,8,302,139,3570,12.8,78,usa,mercury monarch ghia
13,8,302,139,4294,16,72,usa,ford gran torino (sw)
16,8,302,139,4141,14,74,usa,ford gran torino
19.4,8,318,139,3735,13.2,78,usa,dodge diplomat
14,8,302,139,4638,16,74,usa,ford gran torino (sw)
17.5,8,305,140,4215,13,76,usa,chevrolet chevelle malibu classic
17.5,8,318,140,4080,13.7,78,usa,dodge magnum xe
17,8,302,140,3449,10.5,70,usa,ford torino
15.5,8,351,142,4054,14.3,79,usa,ford country squire (sw)
17.5,8,305,145,3880,12.5,77,usa,chevrolet caprice classic
19.2,8,305,145,3425,13.2,78,usa,chevrolet monte carlo landau
15.5,8,318,145,4140,13.7,77,usa,dodge monaco brougham
15,8,350,145,4440,14,75,usa,chevrolet bel air
15,8,350,145,4082,13,73,usa,chevrolet monte carlo s
13,8,350,145,3988,13,73,usa,chevrolet malibu
13,8,350,145,4055,12,76,usa,chevy c10
14,8,351,148,4657,13.5,75,usa,ford ltd
16,8,351,149,4335,14.5,77,usa,ford thunderbird
14,8,318,150,4096,13,71,usa,plymouth fury iii
15,8,304,150,3892,12.5,72,usa,amc matador (sw)
16,8,318,150,4190,13,76,usa,dodge coronet brougham
14,8,318,150,4237,14.5,73,usa,plymouth fury gran sedan
13,8,400,150,4464,12,73,usa,chevrolet caprice classic
13,8,318,150,3940,13.2,76,usa,plymouth volare premier v8
16,8,318,150,4498,14.5,75,usa,plymouth grand fury
14,8,318,150,4077,14,72,usa,plymouth satellite custom (sw)
13,8,318,150,3755,14,76,usa,dodge d100
14,8,304,150,4257,15.5,74,usa,amc matador (sw)
11,8,400,150,4997,14,73,usa,chevrolet impala
15,8,318,150,4135,13.5,72,usa,plymouth fury iii
17,8,304,150,3672,11.5,72,usa,amc ambassador sst
15,8,400,150,3761,9.5,70,usa,chevrolet monte carlo
18,8,318,150,3436,11,70,usa,plymouth satellite
15,8,318,150,3777,12.5,73,usa,dodge coronet custom
14,8,318,150,4457,13.5,74,usa,dodge coronet custom (sw)
13,8,350,150,4699,14.5,74,usa,buick century luxus (sw)
14,8,304,150,3672,11.5,73,usa,amc matador
16,8,304,150,3433,12,70,usa,amc rebel sst
18.5,8,360,150,3940,13,79,usa,chrysler lebaron town @ country (sw)
15,8,318,150,3399,11,73,usa,dodge dart custom
14.5,8,351,152,4215,12.8,76,usa,ford gran torino
14,8,351,153,4129,13,72,usa,ford galaxie 500
14,8,351,153,4154,13.5,71,usa,ford galaxie 500
13,8,350,155,4502,13.5,72,usa,buick lesabre custom
16.9,8,350,155,4360,14.9,79,usa,buick estate wagon (sw)
13,8,351,158,4363,13,73,usa,ford ltd
14,8,340,160,3609,8,70,usa,plymouth 'cuda 340
12,8,350,160,4456,13.5,72,usa,oldsmobile delta 88 royale
17.7,6,231,165,3445,13.4,78,usa,buick regal sport coupe (turbo)
14,8,350,165,4209,12,71,usa,chevrolet impala
13,8,350,165,4274,12,72,usa,chevrolet impala
15,8,350,165,3693,11.5,70,usa,buick skylark 320
12,8,400,167,4906,12.5,73,usa,ford country
13,8,360,170,4654,13,73,usa,plymouth custom suburb
13,8,400,170,4746,12,71,usa,ford country squire (sw)
15.5,8,350,170,4165,11.4,77,usa,chevrolet monte carlo landau
15,8,383,170,3563,10,70,usa,dodge challenger se
16,8,400,170,4668,11.5,75,usa,pontiac catalina
13,8,400,175,5140,12,71,usa,pontiac safari (sw)
13,8,360,175,3821,11,73,usa,amc ambassador brougham
14,8,400,175,4464,11.5,71,usa,pontiac catalina brougham
14,8,400,175,4385,12,72,usa,pontiac catalina
13,8,350,175,4100,13,73,usa,buick century 350
16,8,400,180,4220,11.1,77,usa,pontiac grand prix lj
11,8,350,180,3664,11,73,usa,oldsmobile omega
16.5,8,350,180,4380,12.1,76,usa,cadillac seville
12,8,350,180,4499,12.5,73,usa,oldsmobile vista cruiser
12,8,383,180,4955,11.5,71,usa,dodge monaco (sw)
15,8,390,190,3850,8.5,70,usa,amc ambassador dpl
13,8,400,190,4422,12.5,72,usa,chrysler newport royal
15.5,8,400,190,4325,12.2,77,usa,chrysler cordoba
9,8,304,193,4732,18.5,70,usa,hi 1200d
15,8,429,198,4341,10,70,usa,ford galaxie 500
12,8,429,198,4952,11.5,73,usa,mercury marquis brougham
10,8,307,200,4376,15,70,usa,chevy c20
11,8,429,208,4633,11,72,usa,mercury marquis
11,8,318,210,4382,13.5,70,usa,dodge d200
14,8,440,215,4312,8.5,70,usa,plymouth fury iii
13,8,440,215,4735,11,73,usa,chrysler new yorker brougham
10,8,360,215,4615,14,70,usa,ford f250
14,8,454,220,4354,9,70,usa,chevrolet impala
14,8,455,225,3086,10,70,usa,buick estate wagon (sw)
12,8,455,225,4951,11,73,usa,buick electra 225 custom
14,8,455,225,4425,10,70,usa,pontiac catalina
16,8,400,230,4278,9.5,73,usa,pontiac grand prix
